RouteName,RouteNumber,Ecoregion_L1Code,Ecoregion_L1Name
HUNTER PEAK,92032,6,NORTHWESTERN FORESTED MOUNTAINS
CLARK,92033,10,NORTH AMERICAN DESERTS
FRANNIE,92035,10,NORTH AMERICAN DESERTS
MOOSE,92036,6,NORTHWESTERN FORESTED MOUNTAINS
LOVELL,92037,10,NORTH AMERICAN DESERTS
TENSLEEP,92039,10,NORTH AMERICAN DESERTS
DAYTON,92040,9,GREAT PLAINS
BALD MTN,92041,6,NORTHWESTERN FORESTED MOUNTAINS
CRAZY WOMAN,92042,6,NORTHWESTERN FORESTED MOUNTAINS
SCHOONOVER,92043,9,GREAT PLAINS
ARVADA,92044,9,GREAT PLAINS
RECLUSE,92045,9,GREAT PLAINS
SODA WELL,92046,9,GREAT PLAINS
UPTON,92049,9,GREAT PLAINS
ALPINE,92051,6,NORTHWESTERN FORESTED MOUNTAINS
WILSON,92052,6,NORTHWESTERN FORESTED MOUNTAINS
HORSE CREEK,92053,10,NORTH AMERICAN DESERTS
CROWHEART,92055,10,NORTH AMERICAN DESERTS
ETHETE,92056,10,NORTH AMERICAN DESERTS
ANCHOR,92057,10,NORTH AMERICAN DESERTS
GEBO,92058,10,NORTH AMERICAN DESERTS
ARMINTO,92059,10,NORTH AMERICAN DESERTS
LYSITE,92060,10,NORTH AMERICAN DESERTS
WORLAND,92061,10,NORTH AMERICAN DESERTS
SUSSEX,92064,9,GREAT PLAINS
HARLAND FLAT,92065,9,GREAT PLAINS
RIVERVIEW,92068,9,GREAT PLAINS
NEWCASTLE,92069,9,GREAT PLAINS
RAVEN,92070,9,GREAT PLAINS
SODA LAKE,92071,6,NORTHWESTERN FORESTED MOUNTAINS
BUCKSKIN MTN,92072,6,NORTHWESTERN FORESTED MOUNTAINS
BOULDER,92074,10,NORTH AMERICAN DESERTS
BIG SANDY,92075,10,NORTH AMERICAN DESERTS
FARSON,92076,10,NORTH AMERICAN DESERTS
FIDDLER LK,92077,6,NORTHWESTERN FORESTED MOUNTAINS
SAND DRAW,92078,10,NORTH AMERICAN DESERTS
SWEETWATER,92079,10,NORTH AMERICAN DESERTS
BAIROIL,92081,10,NORTH AMERICAN DESERTS
LAMONT,92082,10,NORTH AMERICAN DESERTS
PATHFINDER,92083,10,NORTH AMERICAN DESERTS
LEO,92084,10,NORTH AMERICAN DESERTS
SHIRLEY,92085,10,NORTH AMERICAN DESERTS
WARBONNET,92086,6,NORTHWESTERN FORESTED MOUNTAINS
FLETCHER PK,92087,6,NORTHWESTERN FORESTED MOUNTAINS
MEADOWDALE,92089,9,GREAT PLAINS
LUSK,92090,9,GREAT PLAINS
LINGLE,92091,9,GREAT PLAINS
MTN VIEW,92093,10,NORTH AMERICAN DESERTS
RELIANCE,92096,10,NORTH AMERICAN DESERTS
ROCK SPRINGS,92097,10,NORTH AMERICAN DESERTS
WAMSUTTER,92101,10,NORTH AMERICAN DESERTS
BAGGS,92103,10,NORTH AMERICAN DESERTS
WALCOTT,92104,10,NORTH AMERICAN DESERTS
FOX PARK,92105,6,NORTHWESTERN FORESTED MOUNTAINS
RYAN PARK,92106,6,NORTHWESTERN FORESTED MOUNTAINS
SYBILLE CYN,92107,6,NORTHWESTERN FORESTED MOUNTAINS
ROCK RIVER,92108,10,NORTH AMERICAN DESERTS
HARMONY,92109,10,NORTH AMERICAN DESERTS
CHEYENNE,92110,9,GREAT PLAINS
CHUGWATER,92111,9,GREAT PLAINS
PINE BLUFF,92112,9,GREAT PLAINS
WELCH,92120,9,GREAT PLAINS
FLAMIN GORGE,92123,10,NORTH AMERICAN DESERTS
ROZET,92147,9,GREAT PLAINS
GVNT VALLEY,92150,6,NORTHWESTERN FORESTED MOUNTAINS
RYEGRASS,92173,10,NORTH AMERICAN DESERTS
SEEDSKADEE,92195,10,NORTH AMERICAN DESERTS
CABALLA CRK,92206,9,GREAT PLAINS
BUCKNUM,92212,9,GREAT PLAINS
HAMPSHIRE,92214,9,GREAT PLAINS
YELLOWSTONE,92901,6,NORTHWESTERN FORESTED MOUNTAINS
MILL CREEK,2,8,EASTERN TEMPERATE FORESTS
GLAMIS,14048,10,NORTH AMERICAN DESERTS
FLYNN,14068,10,NORTH AMERICAN DESERTS
RAVENDALE,14076,10,NORTH AMERICAN DESERTS
BOYERO,17020,9,GREAT PLAINS
KIRK,17214,9,GREAT PLAINS
ACEQUIA,33026,10,NORTH AMERICAN DESERTS
CRANE CREEK,33211,10,NORTH AMERICAN DESERTS
MUD LAKE,33221,10,NORTH AMERICAN DESERTS
WALES,36016,9,GREAT PLAINS
MAPLE GROVE,49009,5,NORTHERN FORESTS
CUNARD,49013,5,NORTHERN FORESTS
PICKFORD,49041,5,NORTHERN FORESTS
OLA,49051,8,EASTERN TEMPERATE FORESTS
HARTLAND,50003,9,GREAT PLAINS
HUNTLEY,50004,9,GREAT PLAINS
ASH CREEK,50006,9,GREAT PLAINS
LAKEVILLE,50008,8,EASTERN TEMPERATE FORESTS
ARLINGTON,50010,9,GREAT PLAINS
REDWOOD FALL,50012,9,GREAT PLAINS
DAWSON,50014,9,GREAT PLAINS
APPLETON,50019,9,GREAT PLAINS
CHOKIO,50021,9,GREAT PLAINS
LE ROY,50054,9,GREAT PLAINS
AUSTIN,50055,9,GREAT PLAINS
FAIRMONT,50056,9,GREAT PLAINS
WORTHINGTON,50057,9,GREAT PLAINS
FRANKLIN,50060,9,GREAT PLAINS
TRACY,50061,9,GREAT PLAINS
TYLER,50062,9,GREAT PLAINS
GLENWOOD,50065,8,EASTERN TEMPERATE FORESTS
MAHTOWA,50067,5,NORTHERN FORESTS
MCGREGOR,50068,5,NORTHERN FORESTS
BRAINERD,50069,5,NORTHERN FORESTS
BIGFORK,50074,5,NORTHERN FORESTS
LOCKHART,50077,9,GREAT PLAINS
WARROAD,50081,5,NORTHERN FORESTS
GREENBUSH,50082,9,GREAT PLAINS
JOHNSON,54002,9,GREAT PLAINS
RICHLAND,54015,9,GREAT PLAINS
JOHNSTOWN,54028,9,GREAT PLAINS
FORMAN,64001,9,GREAT PLAINS
WALCOTT,64002,9,GREAT PLAINS
EDGELEY,64004,9,GREAT PLAINS
KEMPTON,64007,9,GREAT PLAINS
EMERADO,64008,9,GREAT PLAINS
WIMBLEDON,64010,9,GREAT PLAINS
HORSEHEAD LK,64011,9,GREAT PLAINS
ROLLA,64017,9,GREAT PLAINS
STANLEY,64026,9,GREAT PLAINS
ZAP,64031,9,GREAT PLAINS
GOLVA,64035,9,GREAT PLAINS
PARSHALL,64040,9,GREAT PLAINS
DOUGLAS CRK,64041,9,GREAT PLAINS
MONTPELIER,64103,9,GREAT PLAINS
ERICK,67021,9,GREAT PLAINS
HARTLINE,89056,10,NORTH AMERICAN DESERTS
SULPHUR,89164,10,NORTH AMERICAN DESERTS
MONTREAL,91007,5,NORTHERN FORESTS
UNION TWP,91011,5,NORTHERN FORESTS
